date,site_id,site_name,city,country,capacity_mw,cooling_type,energy_tariff_per_kwh,grid_emission_factor,renewable_energy_percent,building_age_years,sla_target_percent,total_facility_energy_kwh,it_equipment_energy_kwh,cooling_energy_kwh,lighting_energy_kwh,backup_power_kwh,peak_demand_kw,temperature_celsius,humidity_percent,server_count,active_servers,idle_servers,avg_cpu_utilization_percent,storage_utilization_percent,ai_workload_percent,revenue_usd,energy_cost_usd,cooling_cost_usd,maintenance_cost_usd,downtime_minutes,sla_penalty_usd,gross_margin_percent,renewable_kwh,fossil_power_kwh,scope_2_emissions_tco2e,carbon_intensity_kg_per_kwh,pue,non_it_energy_kwh,energy_waste_cost_usd,revenue_leakage_usd,target_pue,risk_level
2024-01-03,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1153502.06,666341.98,415170.65,18114.76,0.0,59530.09,24.88,70.16,5200,3679,1521,55.53,65.07,33.75,581522.51,126885.23,45668.77,57835.49,0.0,0.0,68.23,207630.37,945871.69,681.03,0.5904,1.731,487160.08,13273.92,13273.92,1.55,High
2024-01-03,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1345033.39,936332.48,297580.16,26522.76,0.0,75070.4,21.5,54.94,7200,6624,576,79.4,66.92,53.2,828002.14,121053.0,26782.21,55676.85,0.0,0.0,78.66,564914.02,780119.37,483.67,0.3596,1.436,408700.91,7288.61,7288.61,1.35,Medium
2024-01-03,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,764148.91,443431.67,269110.24,17610.77,0.0,40521.46,26.4,73.07,4100,2278,1822,40.28,61.18,30.29,412787.93,91697.87,32293.23,44005.98,0.0,0.0,67.13,114622.34,649526.57,487.14,0.6375,1.723,320717.25,9219.58,9219.58,1.55,Medium
2024-01-03,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1131145.28,726368.41,298704.07,26796.01,6063.41,59795.06,24.1,63.28,6100,4066,2034,55.71,61.12,41.89,645898.04,113114.53,29870.41,53465.43,0.0,0.0,74.21,395900.85,735244.43,485.26,0.429,1.557,404776.87,7791.11,7791.11,1.45,Medium
2024-01-03,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,600980.47,355975.4,197543.13,12727.08,0.0,33429.08,24.77,72.55,3300,2617,683,61.82,79.52,14.26,323153.66,57093.15,18766.6,33232.55,0.0,0.0,72.05,168274.53,432705.94,294.24,0.4896,1.688,245005.08,4675.77,4675.77,1.55,Medium
2024-01-04,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1103487.81,630606.45,396388.22,27607.07,0.0,60043.88,26.16,39.44,5200,3735,1465,55.3,66.07,16.75,558832.52,121383.66,43602.7,42592.58,0.0,0.0,70.66,198627.81,904860.01,651.5,0.5904,1.75,472881.36,13865.26,13865.26,1.55,High
2024-01-04,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1269889.04,881487.36,261067.68,24343.5,0.0,66978.86,23.3,48.53,7200,6624,576,82.32,55.75,53.88,841660.44,114290.01,23496.09,47010.77,0.0,0.0,80.84,533353.4,736535.64,456.65,0.3596,1.441,388401.68,7189.3,7189.3,1.35,Medium
2024-01-04,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,849620.85,466536.86,305539.43,19091.83,0.0,45781.61,24.48,39.8,4100,2600,1500,52.41,64.48,27.71,465916.52,101954.5,36664.73,49415.06,0.0,0.0,67.51,127443.13,722177.72,541.63,0.6375,1.821,383084.0,15178.65,15178.65,1.55,Medium
2024-01-04,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1104727.2,699102.09,314786.14,28416.91,0.0,55513.89,24.0,35.19,6100,4893,1207,63.82,71.11,32.4,636050.93,110472.72,31478.61,60960.16,0.0,0.0,73.05,386654.52,718072.68,473.93,0.429,1.58,405625.11,9102.92,9102.92,1.45,Medium
2024-01-04,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,565824.84,330697.04,185640.24,10438.53,0.0,28850.95,24.68,66.51,3300,2066,1234,50.81,82.08,23.88,296492.99,53753.36,17635.82,38873.7,0.0,0.0,68.76,158430.96,407393.89,277.03,0.4896,1.711,235127.8,5058.22,5058.22,1.55,Medium
2024-01-05,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1075996.56,617893.3,383261.71,27610.39,0.0,53956.37,27.02,56.57,5200,2695,2505,41.53,60.19,11.95,558593.22,118359.62,42158.79,58654.36,0.0,0.0,68.31,193679.38,882317.18,635.27,0.5904,1.741,458103.26,13008.81,13008.81,1.55,Medium
2024-01-05,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1173834.82,815049.29,240718.2,34199.72,0.0,63095.95,21.07,57.25,7200,5173,2027,56.55,69.58,42.09,806139.68,105645.13,21664.64,57459.76,0.0,0.0,79.77,493010.63,680824.2,422.11,0.3596,1.44,358785.53,6616.65,6616.65,1.35,Medium
2024-01-05,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,886871.3,498240.98,324015.45,18501.3,0.0,46462.69,24.85,69.43,4100,3410,690,69.94,70.85,36.77,427835.6,106424.56,38881.85,49856.98,0.0,0.0,63.47,133030.7,753840.61,565.38,0.6375,1.78,388630.32,13751.73,13751.73,1.55,Medium
2024-01-05,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1139270.52,732585.22,324770.36,20473.62,10863.46,63060.76,22.69,50.84,6100,5434,666,77.22,79.28,22.47,654631.91,113927.05,32477.04,44835.11,49.2,80550.57,63.44,398744.68,740525.84,488.75,0.429,1.555,406685.3,7702.19,88252.77,1.45,High
2024-01-05,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,611370.9,355186.85,218224.64,12559.11,0.0,31736.7,23.12,76.6,3300,2513,787,60.02,74.42,45.33,344121.09,58080.24,20731.34,42723.8,0.0,0.0,70.71,171183.85,440187.05,299.33,0.4896,1.721,256184.05,5778.97,5778.97,1.55,Medium
2024-01-06,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1043467.06,579748.51,384193.47,23116.38,0.0,57667.69,27.2,72.69,5200,3711,1489,54.73,56.53,25.05,486951.91,114781.38,42261.28,47300.98,0.0,0.0,66.71,187824.07,855642.99,616.06,0.5904,1.8,463718.56,15934.26,15934.26,1.55,Medium
2024-01-06,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1091344.4,775932.6,225905.96,25836.51,0.0,54268.7,21.72,50.88,7200,6352,848,77.58,72.16,45.31,741897.38,98221.0,20331.54,60074.03,0.0,0.0,78.66,458364.65,632979.75,392.45,0.3596,1.406,315411.8,3945.19,3945.19,1.35,Low
2024-01-06,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,859988.62,456433.33,327131.44,15235.94,7142.12,47963.73,28.46,58.96,4100,3371,729,66.21,67.31,24.21,398746.92,103198.63,39255.77,42998.52,0.0,0.0,63.34,128998.29,730990.33,548.24,0.6375,1.884,403555.3,18302.04,18302.04,1.55,High
2024-01-06,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,933291.26,598180.29,265181.24,15958.82,0.0,45130.85,24.88,42.68,6100,3533,2567,40.08,47.84,41.67,586849.61,93329.13,26518.12,48164.67,0.0,0.0,75.89,326651.94,606639.32,400.38,0.429,1.56,335110.97,6592.98,6592.98,1.45,Low
2024-01-06,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,547485.94,311854.72,192649.07,9979.1,0.0,29846.86,22.19,62.24,3300,2182,1118,55.97,70.72,16.89,267175.35,52011.16,18301.66,26472.28,0.0,0.0,70.62,153296.06,394189.88,268.05,0.4896,1.756,235631.21,6090.56,6090.56,1.55,Medium
2024-01-07,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1103368.3,636425.82,360559.89,26339.13,0.0,61837.65,24.91,50.73,5200,4652,548,73.33,73.08,34.48,474838.25,121370.51,39661.59,50775.88,0.0,0.0,63.75,198606.29,904762.01,651.43,0.5904,1.734,466942.48,12859.91,12859.91,1.55,High
2024-01-07,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1111079.15,762840.61,241964.65,31218.9,2849.09,57403.88,24.17,42.22,7200,5227,1973,60.18,80.9,45.76,738839.5,99997.12,21776.82,54071.71,0.0,0.0,79.15,466653.25,644425.91,399.54,0.3596,1.457,348238.55,7311.99,7311.99,1.35,Low
2024-01-07,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,768272.67,420230.15,286333.88,17298.35,0.0,42363.97,30.64,73.67,4100,2385,1715,42.52,53.54,22.1,376909.96,92192.72,34360.07,45110.47,0.0,0.0,63.57,115240.9,653031.77,489.77,0.6375,1.828,348042.53,14029.91,14029.91,1.55,Medium
2024-01-07,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,928741.33,600485.8,255663.83,20867.48,0.0,51656.1,25.19,42.13,6100,3511,2589,44.88,61.32,36.06,559533.62,92874.13,25566.38,42047.94,0.0,0.0,75.89,325059.47,603681.87,398.43,0.429,1.547,328255.54,5803.69,5803.69,1.45,Low
2024-01-07,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,489501.36,291297.7,161794.15,11312.76,0.0,25825.87,22.64,50.62,3300,1906,1394,42.62,51.05,32.63,284300.04,46502.63,15370.44,35063.28,0.0,0.0,71.31,137060.38,352440.98,239.66,0.4896,1.68,198203.66,3609.04,3609.04,1.55,Medium
2024-01-08,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1218424.96,684392.27,432365.75,19731.59,4850.25,68794.68,26.22,59.48,5200,3789,1411,56.93,59.29,37.43,534761.46,134026.75,47560.23,39158.01,0.0,0.0,67.61,219316.49,999108.47,719.36,0.5904,1.78,534032.69,17337.86,17337.86,1.55,High
2024-01-08,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1187866.99,811073.99,258444.85,28239.63,0.0,61894.3,22.17,59.52,7200,5458,1742,58.02,53.86,47.74,750006.12,106908.03,23260.04,51719.12,0.0,0.0,78.85,498904.14,688962.85,427.16,0.3596,1.465,376793.0,8362.54,8362.54,1.35,Medium
2024-01-08,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,856257.89,476346.62,325248.77,12720.18,0.0,45571.71,26.12,68.67,4100,2296,1804,44.8,60.62,35.71,437107.26,102750.95,39029.85,44246.07,0.0,0.0,66.37,128438.68,727819.21,545.86,0.6375,1.798,379911.27,14150.48,14150.48,1.55,Medium
2024-01-08,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1109220.45,714110.46,314137.34,27285.13,0.0,54669.4,27.53,35.0,6100,5206,894,70.48,65.64,28.2,639462.55,110922.04,31413.73,47449.29,0.0,0.0,75.23,388227.16,720993.29,475.86,0.429,1.553,395109.99,7376.03,7376.03,1.45,Medium
2024-01-08,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,652367.3,382408.45,223674.66,15708.62,0.0,34956.1,18.68,57.96,3300,2586,714,66.28,69.84,47.52,315936.41,61974.89,21249.09,27258.68,0.0,0.0,71.76,182662.84,469704.45,319.4,0.4896,1.706,269958.85,5665.25,5665.25,1.55,Medium
2024-01-09,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1145947.51,669673.67,410214.04,17819.24,0.0,60963.45,26.04,49.02,5200,4068,1132,62.72,60.32,31.01,515624.89,126054.23,45123.54,57731.16,20.9,35381.04,57.49,206270.55,939676.96,676.57,0.5904,1.711,476273.84,11874.86,47255.91,1.55,High
2024-01-09,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1138933.83,785984.74,236372.29,24022.16,0.0,64231.2,17.96,59.72,7200,3963,3237,43.64,59.96,39.21,748994.56,102504.04,21273.51,50845.13,0.0,0.0,79.53,478352.21,660581.62,409.56,0.3596,1.449,352949.08,7006.9,7006.9,1.35,Low
2024-01-09,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,807693.66,458001.51,273665.04,18526.6,0.0,43349.88,25.26,64.17,4100,2656,1444,48.71,70.76,27.78,452769.99,96923.24,32839.8,38011.64,0.0,0.0,70.2,121154.05,686539.61,514.9,0.6375,1.764,349692.16,11734.96,11734.96,1.55,Medium
2024-01-09,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1106023.68,696953.02,306046.47,19116.39,0.0,59866.04,24.23,46.08,6100,4742,1358,60.32,77.88,22.42,686110.7,110602.37,30604.65,47093.17,0.0,0.0,77.02,387108.29,718915.39,474.48,0.429,1.587,409070.66,9544.18,9544.18,1.45,Medium
2024-01-09,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,601015.53,346337.26,209927.14,11929.38,0.0,33646.66,26.35,77.86,3300,2321,979,52.88,63.34,29.23,331744.99,57096.48,19943.08,38753.34,0.0,0.0,71.11,168284.35,432731.18,294.26,0.4896,1.735,254678.27,6098.31,6098.31,1.55,Medium
2024-01-10,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1108513.52,613929.68,402939.1,27613.36,3763.06,57814.14,28.78,41.92,5200,2741,2459,40.47,66.19,41.51,586523.95,121936.49,44323.3,50744.61,0.0,0.0,70.56,199532.43,908981.08,654.47,0.5904,1.806,494583.83,17261.48,17261.48,1.55,High
2024-01-10,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1308615.08,902660.48,269146.86,40410.56,0.0,68376.17,23.38,57.11,7200,6161,1039,72.29,62.77,42.32,781770.99,117775.36,24223.22,68428.99,11.7,18576.39,73.81,549618.33,758996.75,470.58,0.3596,1.45,405954.6,8102.11,26678.5,1.35,Medium
2024-01-10,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,850210.41,468297.34,317321.48,20784.94,0.0,47075.82,28.92,47.1,4100,2916,1184,55.9,57.89,30.56,451706.24,102025.25,38078.58,40555.09,0.0,0.0,68.44,127531.56,722678.85,542.01,0.6375,1.816,381913.07,14921.94,14921.94,1.55,Medium
2024-01-10,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1119702.7,721229.55,305752.97,19450.74,0.0,55282.36,24.28,37.74,6100,4519,1581,59.03,92.0,34.94,650118.93,111970.27,30575.3,44301.47,0.0,0.0,75.96,391895.94,727806.75,480.35,0.429,1.552,398473.15,7391.99,7391.99,1.45,Medium
2024-01-10,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,580186.4,332081.42,194761.8,10842.75,6730.17,28527.15,20.1,55.22,3300,1871,1429,45.26,74.15,34.53,334102.69,55117.71,18502.37,28614.57,0.0,0.0,74.94,162452.19,417734.21,284.06,0.4896,1.747,248104.98,6218.72,6218.72,1.55,Medium
2024-01-11,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1187393.65,681236.43,422228.5,28547.95,0.0,58004.04,28.28,53.25,5200,4171,1029,67.45,56.05,36.72,518573.07,130613.3,46445.13,47205.58,0.0,0.0,65.71,213730.86,973662.8,701.04,0.5904,1.743,506157.22,14462.49,14462.49,1.55,High
2024-01-11,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1372774.1,934317.35,299370.89,37282.48,0.0,73070.69,20.73,62.84,7200,6624,576,79.62,67.92,46.96,816053.95,123549.67,26943.38,61004.01,0.0,0.0,77.38,576565.12,796208.98,493.65,0.3596,1.469,438456.74,10030.11,10030.11,1.35,Medium
2024-01-11,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,798876.33,451710.73,293996.82,12107.05,0.0,39683.08,25.22,41.93,4100,2295,1805,40.81,63.49,20.02,420247.33,95865.16,35279.62,42331.64,0.0,0.0,67.12,119831.45,679044.88,509.28,0.6375,1.769,347165.6,11846.96,11846.96,1.55,Medium
2024-01-11,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1261339.22,805159.15,371623.7,27670.6,0.0,69932.3,25.88,69.33,6100,5612,488,84.24,58.91,47.23,658521.44,126133.92,37162.37,62808.34,0.0,0.0,71.31,441468.73,819870.5,541.11,0.429,1.567,456180.07,9385.85,9385.85,1.45,Medium
2024-01-11,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,617764.28,357139.6,218918.92,9702.38,2712.71,31374.22,23.15,60.38,3300,2299,1001,54.3,61.41,23.42,325964.1,58687.61,20797.3,37020.68,0.0,0.0,70.64,172974.0,444790.28,302.46,0.4896,1.73,260624.68,6098.8,6098.8,1.55,Medium
2024-01-12,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1091571.47,641306.53,362491.23,22927.31,5653.6,56307.65,23.98,59.05,5200,4059,1141,60.1,67.7,28.79,550311.66,120072.86,39874.04,44753.49,0.0,0.0,70.05,196482.86,895088.6,644.46,0.5904,1.702,450264.93,10730.1,10730.1,1.55,Medium
2024-01-12,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1225629.09,837415.15,260406.24,30054.26,0.0,61686.68,18.38,71.43,7200,5536,1664,63.35,83.85,61.54,770788.67,110306.62,23436.56,64383.18,0.0,0.0,77.34,514764.22,710864.87,440.74,0.3596,1.464,388213.94,8560.68,8560.68,1.35,Medium
2024-01-12,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,880949.03,499620.25,307258.99,20782.38,0.0,44744.78,26.01,40.97,4100,3376,724,64.43,69.53,15.63,410782.96,105713.88,36871.08,40465.45,0.0,0.0,64.41,132142.36,748806.68,561.61,0.6375,1.763,381328.79,12784.52,12784.52,1.55,Medium
2024-01-12,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1113692.18,725904.99,307939.84,20677.35,8804.6,54471.91,25.02,63.54,6100,4988,1112,71.57,82.83,37.38,639037.07,111369.22,30793.98,52498.31,51.6,67211.51,63.84,389792.26,723899.92,477.77,0.429,1.534,387787.19,6113.0,73324.51,1.45,High
2024-01-12,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,632796.68,371740.95,200805.0,16717.84,0.0,33036.11,23.39,49.92,3300,2691,609,69.14,59.84,23.47,298046.66,60115.69,19076.47,30570.41,0.0,0.0,69.57,177183.07,455613.61,309.82,0.4896,1.702,261055.73,5376.83,5376.83,1.55,Medium
2024-01-13,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1016378.36,581751.17,334501.53,22709.0,8032.79,55112.12,25.7,75.99,5200,3761,1439,54.37,57.28,25.23,487963.39,111801.62,36795.17,42922.34,0.0,0.0,68.29,182948.1,833430.25,600.07,0.5904,1.747,434627.19,12613.05,12613.05,1.55,Medium
2024-01-13,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1027891.08,705880.87,226542.9,18594.78,0.0,55949.98,21.73,54.14,7200,4351,2849,47.44,72.91,55.8,720139.28,92510.2,20388.86,46863.34,0.0,0.0,80.65,431714.25,596176.83,369.63,0.3596,1.456,322010.21,6745.67,6745.67,1.35,Low
2024-01-13,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,720214.47,409654.5,256943.28,11090.17,0.0,35923.44,26.21,48.99,4100,2289,1811,42.47,69.53,45.35,401751.23,86425.74,30833.19,45175.23,0.0,0.0,67.24,108032.17,612182.3,459.14,0.6375,1.758,310559.96,10230.0,10230.0,1.55,Medium
2024-01-13,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1029049.98,662476.13,263218.43,28871.83,0.0,51769.22,23.81,64.8,6100,5444,656,74.34,64.35,17.54,554190.13,102905.0,26321.84,45577.62,0.0,0.0,73.21,360167.49,668882.49,441.46,0.429,1.553,366573.85,6845.96,6845.96,1.45,Medium
2024-01-13,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,487477.24,285834.26,157290.4,8927.39,10501.96,23720.66,22.73,58.83,3300,1485,1815,31.02,58.42,30.79,292036.02,46310.34,14942.59,36157.72,29.2,47371.09,55.54,136493.63,350983.62,238.67,0.4896,1.705,201642.99,4221.24,51592.34,1.55,High
2024-01-14,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1004340.04,581175.85,343797.02,22415.79,0.0,50062.54,25.79,51.24,5200,3453,1747,55.5,81.93,32.78,513079.26,110477.4,37817.67,47346.69,0.0,0.0,69.24,180781.21,823558.83,592.96,0.5904,1.728,423164.19,11386.92,11386.92,1.55,Medium
2024-01-14,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1101981.16,772077.41,235969.48,29617.63,0.0,57009.44,22.25,49.77,7200,5959,1241,69.33,74.64,60.84,707937.69,99178.3,21237.25,51798.06,0.0,0.0,78.67,462832.09,639149.07,396.27,0.3596,1.427,329903.76,5370.9,5370.9,1.35,Low
2024-01-14,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,742928.96,410914.96,277052.96,15940.3,0.0,37180.39,28.73,52.74,4100,1929,2171,35.7,80.16,26.9,381959.32,89151.48,33246.36,40734.29,0.0,0.0,65.99,111439.34,631489.62,473.62,0.6375,1.808,332014.0,12721.29,12721.29,1.55,Medium
2024-01-14,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,992538.39,634241.83,281635.73,26194.66,0.0,49065.92,23.58,63.26,6100,4338,1762,57.04,73.93,28.07,599504.68,99253.84,28163.57,43532.43,0.0,0.0,76.18,347388.44,645149.95,425.8,0.429,1.565,358296.56,7288.77,7288.77,1.45,Medium
